auc_V,peak_V,t_peak,auc_I,mean_R5_loss,mean_R4_loss,mean_S_ccr5,mean_trop_V5,max_A5,max_A4,max_B,max_C5,max_C4,min_T,F5_end,F5_start,auc_V_early,peak_V_early,t_peak_early,auc_I_early,I_day7,I_day10,run_id,scenario,t_half_A,T_A,E_V,false_R5_loss,tau_B,E_V_early,E_V_r5,false_R5,f_E,t_recovery_days
263428524.00782496,11008162.386215748,,,,0.5886946650084457,,,,,,,,,,,,,,,,,run3_5_5,run3_false_route,0.3253402960611446,0.5285714285714286,0.01387482640211768,0.8011386004680159,,,,,,
263924492.33878365,11080375.471976187,,,,0.5845447174525248,,,,,,,,,,,,,,,,,run3_5_6,run3_false_route,0.8066477497162501,0.5285714285714286,0.012018205680015548,0.8011371603709717,,,,,,
265942801.1639619,15580676.14997915,,,,0.5728542224951074,,,,,,,,,,,,,,,,,run3_5_7,run3_false_route,2.0,0.5285714285714286,0.004462816042164808,0.8010534548054095,,,,,,
271552959.68490934,12813362.18166488,,,,0.4987605790170219,,,,,,,,,,,,,,,,,run3_6_0,run3_false_route,0.003472222222222222,0.6142857142857142,-0.016538396967010316,0.8009220982657276,,,,,,
271550431.0220181,12813207.15978041,,,,0.4987486531812445,,,,,,,,,,,,,,,,,run3_6_1,run3_false_route,0.008609017315039,0.6142857142857142,-0.016528931104716094,0.8009209964016926,,,,,,
271544762.81553084,12812869.804633074,,,,0.49871680234751425,,,,,,,,,,,,,,,,,run3_6_2,run3_false_route,0.021345171589624717,0.6142857142857142,-0.016507712593443413,0.800922263752166,,,,,,
271532263.51663816,12812098.791963851,,,,0.49862919942178274,,,,,,,,,,,,,,,,,run3_6_3,run3_false_route,0.052923154120576674,0.6142857142857142,-0.016460922393570998,0.8009224276298774,,,,,,
271508843.660041,12810887.693080908,,,,0.4983717405778777,,,,,,,,,,,,,,,,,run3_6_4,run3_false_route,0.13121750885487043,0.6142857142857142,-0.016373251894563845,0.800922476385687,,,,,,
271499063.3027459,12814203.203543315,,,,0.4976540525152073,,,,,,,,,,,,,,,,,run3_6_5,run3_false_route,0.3253402960611446,0.6142857142857142,-0.016336639851233237,0.8009222603435852,,,,,,
271660936.2993783,12913111.855903309,,,,0.4956815859829648,,,,,,,,,,,,,,,,,run3_6_6,run3_false_route,0.8066477497162501,0.6142857142857142,-0.016942599427957727,0.8009201985499643,,,,,,
272433558.07437754,18173918.207816288,,,,0.48885085296286707,,,,,,,,,,,,,,,,,run3_6_7,run3_false_route,2.0,0.6142857142857142,-0.01983485183253797,0.8007947041653957,,,,,,
273311840.33299804,14581563.865089878,,,,0.42822423221404354,,,,,,,,,,,,,,,,,run3_7_0,run3_false_route,0.003472222222222222,0.7,-0.02312263643373913,0.8006477006688341,,,,,,
273311147.743736,14581287.505990174,,,,0.4282116581162754,,,,,,,,,,,,,,,,,run3_7_1,run3_false_route,0.008609017315039,0.7,-0.023120043777120625,0.800646855056311,,,,,,
273309536.51797765,14580714.901807677,,,,0.42818238660398533,,,,,,,,,,,,,,,,,run3_7_2,run3_false_route,0.021345171589624717,0.7,-0.02311401227280019,0.8006476713478916,,,,,,
273308261.76676047,14579422.094549363,,,,0.42809846780120625,,,,,,,,,,,,,,,,,run3_7_3,run3_false_route,0.052923154120576674,0.7,-0.023109240336009806,0.8006478593925521,,,,,,
273309730.6958903,14577261.573588597,,,,0.4278539007246806,,,,,,,,,,,,,,,,,run3_7_4,run3_false_route,0.13121750885487043,0.7,-0.02311473916343809,0.8006475516209302,,,,,,
273334989.13390064,14580471.333173024,,,,0.42715626900655757,,,,,,,,,,,,,,,,,run3_7_5,run3_false_route,0.3253402960611446,0.7,-0.023209292255824465,0.8006472706592405,,,,,,
273480483.0763465,14710768.000602016,,,,0.4252116725477831,,,,,,,,,,,,,,,,,run3_7_6,run3_false_route,0.8066477497162501,0.7,-0.023753938056017443,0.800644364364709,,,,,,
273945002.9813113,20714509.44060497,,,,0.418832015221426,,,,,,,,,,,,,,,,,run3_7_7,run3_false_route,2.0,0.7,-0.025492833924064984,0.8004702071865527,,,,,,
146170566.1837644,5263073.076933669,19.27409261576971,841690.2249280135,0.6995297407221466,0.0074375727119487854,0.970117933308116,1.0,1.4263448829332555,0.02,5.764475070086862,0.14558908838340084,0.0004787341998601977,454286.60432986537,0.2653924810707825,0.9779951100244498,575728.970398971,824508.4594892921,9.962453066332916,3516.650210441681,70.94099717275553,5388.053357442397,run4_isolated_pulse,run4_isolated_pulse,,,,,,,,,,
139866220.52582127,5224599.956353541,22.57822277847309,805449.0271237111,0.7010430854551604,0.007437563185674498,0.9783285335296531,1.0,1.0164956343802796,0.019999999999999997,5.764383127535922,2.3084614261782215,0.0004787341586102495,472927.50179535104,0.25505749968648866,0.9779951100244498,575734.0611131152,824499.4458263642,9.962453066332916,3516.6809627283833,70.92183397993155,5388.0063486254285,run4_repeated_pulses,run4_repeated_pulses,,,,,,,,,,
75387173.7826414,5259166.14510519,33.64205256570713,434767.9731237267,0.7163228899930558,0.005666452928752766,0.9926085979415585,1.0,1.026753717081295,0.019999999999999997,5.764466006941382,2.2870701597845393,0.0004787341957970723,673923.7949035447,0.17962365018038598,0.9779951100244498,196359.94670922827,93986.45729370396,8.961201501877346,1147.899008417814,70.92611672447161,417.8577079928587,run4_sustained,run4_sustained,,,,,,,,,,
266870507.3428723,11930227.239251055,19.0738423028786,1535246.406629429,0.5885615932289617,0.533688937831578,0.5587333630476852,0.5706352757273035,0.14075357827559568,0.16046683199396578,5.769546559395016,0.1446632989136572,0.22554395150693018,75247.93835881965,0.9656223062894778,0.9779951100244498,576156.0099413729,826949.9575500218,9.962453066332916,3519.72117629623,70.92761898841191,5412.529352414277,run5_mix_90_10,run5_mix_90_10,,,,,,,,,,
268215460.07244283,11964977.221098421,18.32290362953692,1542916.6395872855,0.5698642927838073,0.5502047618228852,0.5203147328249714,0.44304059351756,0.13924033341311298,0.16138804856274327,5.76955150282323,0.14171322227703412,0.229103192139708,75247.92037103868,0.9671495596990746,0.9779951100244498,576888.2187357954,830712.6745858967,9.962453066332916,3524.875551566402,70.93052234286056,5447.6556144099095,run5_mix_50_50,run5_mix_50_50,,,,,,,,,,
267548411.23740625,11961917.8051577,18.623279098873592,1539111.8030003011,0.5477920230210727,0.5650352832407037,0.4771330086122874,0.31790102668861897,0.13741178185879027,0.16227403900640652,5.769551802123266,0.13677410563227568,0.23255433867238617,75247.70827374731,0.9664234510053865,0.9779951100244498,576227.5337042853,827513.8405143127,9.962453066332916,3520.280949569291,70.92761898521947,5419.347951001398,run5_mix_10_90,run5_mix_10_90,,,,,,,,,,
240424849.78526533,11412964.00332256,27.934918648310386,1384295.6194034303,0.669823691492487,0.40398242442617516,0.6881263884287523,0.7434607744098262,0.14091827780197438,0.15419960500783875,5.76943251325519,0.1456027356671527,0.2021308356309311,96867.91150237163,0.8799031469085733,0.9779951100244498,575744.6414366438,824513.7325150344,9.962453066332916,3516.745827808136,70.92243713493359,5387.532516920102,run6_secondary_x4_emergence,run6_secondary_x4_emergence,,,,,,,,,,
146156858.25031656,5263000.015589743,19.27409261576971,841611.4536318112,0.6998176880889944,0.0074930219638432854,0.9664030258561087,1.0,0.1406270478539718,0.019999999999999997,5.76447520225769,0.14497258126750961,0.0004787341999195187,454326.22153229965,0.26536963062274344,0.9779951100244498,575589.3620163321,823957.7026513187,9.962453066332916,3515.7298403390696,70.95704731829093,5384.043573195433,run7_tauB_0.0,run7,,,0.45287262357992264,,0.0,0.0029489896997505483,,,,
146162984.90169573,5263030.642356038,19.27409261576971,841646.6765754151,0.6996785818850142,0.007464114175790018,0.9684303082592327,1.0,0.1407678791769606,0.019999999999999997,5.764475196782958,0.14527306664827688,0.0004787341999147699,454308.2048259847,0.2653800218236037,0.9779951100244498,575661.41378906,824216.4369444194,9.962453066332916,3516.2012808283494,70.94385418572652,5385.805514215764,run7_tauB_0.125,run7,,,0.45284968891414334,,0.125,0.002824179726646503,,,,
146170589.44755334,5263073.321291783,19.27409261576971,841690.3646219571,0.6995298413352289,0.007437581090739403,0.9697864080955304,1.0,0.1409030835822429,0.019999999999999997,5.764475069898599,0.1456091143184177,0.0004787341998600894,454286.56941619795,0.26539250121069263,0.9779951100244498,575744.6278882861,824513.7355478418,9.962453066332916,3516.745745434855,70.9225225708222,5388.09359152546,run7_tauB_0.25,run7,,,0.4528212218598172,,0.25,0.002680034078412108,,,,
146190507.36687937,5263185.924589817,19.27409261576971,841804.8948223111,0.6992030942074151,0.007390169796282914,0.9718261774100327,1.0,0.14135214794359413,0.019999999999999997,5.764474388959872,0.146461369922929,0.00047873419955646947,454228.8976079184,0.265425772294798,0.9779951100244498,575977.3180411918,825161.976330732,9.962453066332916,3518.2552411615793,70.95704785933495,5393.020816992169,run7_tauB_0.5,run7,,,0.4527466606036774,,0.5,0.002276962084119538,,,,
146258176.0246689,5263591.578551102,19.22403003754693,842193.8897874897,0.6984013668187166,0.007310851780296593,0.9757766628438495,1.0,0.1429588974835303,0.019999999999999997,5.764471118781743,0.14935030017200843,0.0004787341980806695,454033.3567949527,0.2655386426531994,0.9779951100244498,576344.9420387906,826612.7499357488,9.962453066332916,3520.745416488058,70.95704790629038,5405.258612066036,run7_tauB_1.0,run7,,,0.4524933479938863,,1.0,0.001640154140115091,,,,
146565106.30140093,5265828.320356526,19.0738423028786,843958.3176853997,0.6962301741491059,0.007185224011169042,0.9806801077016994,1.0,0.15123934312435067,0.019999999999999997,5.764443072529877,0.16057851759430875,0.00047873418546479025,453146.1111655635,0.2660519853701543,0.9779951100244498,576956.4663277223,829802.8951283424,9.962453066332916,3525.0696925183925,70.95704791562551,5434.672600029317,run7_tauB_2.0,run7,,,0.45134437723012866,,2.0,0.0005808557056085073,,,,
147187890.91257843,5272320.307329276,18.623279098873592,847538.453253673,0.6935825518143729,0.007080545680849125,0.9834007348367235,1.0,0.16850861346321355,0.019999999999999997,5.764308928926345,0.17901395469814724,0.0004787341252554539,451343.7025600933,0.26710094164617293,0.9779951100244498,577198.0088756711,831498.7524674303,9.962453066332916,3526.896727977618,70.95704791639731,5453.080662446043,run7_tauB_3.0,run7,,,0.4490130291533606,,3.0,0.0001624493601208865,,,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.003472222222222222,,0.003472222222222222,,,,,,0.45358326898505985,0.3811964876254283,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.00618806704913494,,0.00618806704913494,,,,,,0.4535595263438418,0.3812929395752328,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.011028146055721812,,0.011028146055721812,,,,,,0.4535160704995803,0.3816170873292385,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.019653957279492363,,0.019653957279492363,,,,,,0.4534392949005821,0.3825999449906787,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.035026561562783776,,0.035026561562783776,,,,,,0.4532984207316114,0.38510187160215414,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.062423052897933734,,0.062423052897933734,,,,,,0.45303446567040295,0.3904189198426503,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.11124807458230399,,0.11124807458230399,,,,,,0.4525222510489395,0.40039238227336654,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.198262236845509,,0.198262236845509,,,,,,0.4514860646724036,0.4173528785528017,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.35333568429450685,,0.35333568429450685,,,,,,0.4493187635912945,0.44179304291223404,,
,,,,,,,,,,,,,,,,,,,,,,run8_0.6297018927167188,,0.6297018927167188,,,,,,0.4447631276313351,0.46807905786675175,,
,,,,,,,,,,,,,,,,,,,,,,run8_1.1222316095322917,,1.1222316095322917,,,,,,0.4354285982096515,0.48182200663740693,,
,,,,,,,,,,,,,,,,,,,,,,run8_2.0,,2.0,,,,,,0.41696485361851066,0.4590192443603436,,
219338308.42107567,8682751.385005757,18.823529411764707,1262691.8590547582,0.679701419643437,0.0020512677231840685,0.9864648883120574,1.0,0.19732312713894903,0.019999999999999997,5.768453921496817,0.38992749845288965,0.0004787359831431948,197576.51776277326,0.5674668891423846,0.9779951100244498,576187.6170560693,827094.3806514873,9.962453066332916,3519.9578655552887,70.9225227404351,5415.262451502988,run9_fast_only,run9_fast_only,,,,,,,,,,
252529122.54779315,11965429.970484909,13.667083854818523,1453269.0459744981,0.6375395579741783,0.005400330897105854,0.9573209258057518,1.0,0.4649043014625353,0.019999999999999997,5.769207177750549,1.771111931027992,0.0004787363198652126,107553.61669849593,0.8834498047914183,0.9779951100244498,577004.9338934383,831087.6797553363,9.962453066332916,3525.665082301136,70.9225229264135,5452.796671995764,run9_sustained_only,run9_sustained_only,,,,,,,,,,
146170589.44755334,5263073.321291783,19.27409261576971,841690.3646219571,0.6995298413352289,0.007437581090739403,0.9697864080955304,1.0,0.1409030835822429,0.019999999999999997,5.764475069898599,0.1456091143184177,0.0004787341998600894,454286.56941619795,0.26539250121069263,0.9779951100244498,575744.6278882861,824513.7355478418,9.962453066332916,3516.745745434855,70.9225225708222,5388.09359152546,run9_both,run9_both,,,,,,,,,,
267362704.4675898,55606612.9053369,14.317897371714643,1537426.472440653,0.16502011369546796,0.00743006622854365,0.8223912349155121,1.0,0.1299221462689702,0.019999999999999997,5.7704895796390465,0.11940403327703944,0.00047873689282234243,13234.049450839837,0.976808949251739,0.9779951100244498,577310.7657744595,832615.9108214913,9.962453066332916,3527.755556060035,70.92240248215128,5464.87401634819,run10_fE_0.10,,,,-0.0008524868357455695,,,,,,0.1,
268793945.36467254,49472085.268673174,14.4180225281602,1545731.6422819393,0.26355241842979027,0.007436242032275657,0.8792900216883937,1.0,0.13667740828337574,0.02,5.7704798543516596,0.13578808589136154,0.00047873688861259356,46449.076504454475,0.9762666441767994,0.9779951100244498,577317.0062367816,832695.6470780198,9.962453066332916,3527.778913245732,70.92236608511634,5465.254103169844,run10_fE_0.20,,,,-0.006210231155241663,,,,,,0.2,
271770773.77731377,42840942.50245422,14.518147684605758,1562992.0010064058,0.3702721286755233,0.007437419301353323,0.9313891817261688,1.0,0.13867388170764733,0.019999999999999997,5.7704532248259754,0.14412947297825754,0.0004787368767143792,88368.12599063576,0.974104824927176,0.9779951100244498,577221.0620226901,832269.5331413652,9.962453066332916,3527.166981270228,70.92245093170052,5460.819772742785,run10_fE_0.30,,,,-0.01735376789350207,,,,,,0.30000000000000004,
273007493.4976266,36163375.18344587,14.668335419274092,1570267.8226566152,0.5005920731979783,0.007437568988344359,0.9537612820911147,1.0,0.13955805846834432,0.019999999999999997,5.770413784466388,0.15158618456773185,0.0004787368590597289,104485.02132276483,0.9675539902374897,0.9779951100244498,577137.4776403853,831786.4964223929,9.962453066332916,3526.6125038414034,70.92239654326322,5459.741990061238,run10_fE_0.40,,,,-0.021983336591420377,,,,,,0.4,
266731782.05047727,29609682.728769172,14.868585732165206,1534492.0535049888,0.6074744100379943,0.007437596909688549,0.961281802378325,1.0,0.13996096807479752,0.019999999999999997,5.77035054229864,0.15415407695769517,0.00047873683072396217,107230.8794422503,0.9321408711145526,0.9779951100244498,577055.3911501558,831447.470345775,9.962453066332916,3526.041243684339,70.92252252786693,5456.150332517225,run10_fE_0.50,,,,0.001509324514962107,,,,,,0.5,
